2Theta,Intensity
25.9400,14.4691
25.9600,10.8857
25.9800,5.2081
26.0000,1.5846
26.0200,0.3066
26.0400,0.0377
26.0600,0.0030
26.0800,0.0001
26.1000,0.0001
26.1200,0.0012
26.1400,0.0176
26.1600,0.1645
26.1800,0.9774
26.2000,3.6933
26.2200,8.8754
26.2400,13.5633
26.2600,13.1811
26.2800,8.1461
26.3000,3.2015
26.3200,0.8001
26.3400,0.1272
26.3600,0.0132
26.3800,0.0068
26.4000,0.0676
26.4200,0.4841
26.4400,2.2062
26.4600,6.3941
26.4800,11.7851
26.5000,13.8132
26.5200,10.2959
26.5400,4.8803
26.5600,1.4711
26.5800,0.2820
26.6000,0.0344
26.6200,0.0027
26.6400,0.0001
26.6600,0.0000
26.6800,0.0000
26.7000,0.0000
26.7200,0.0000
26.7400,0.0000
26.7600,0.0000
26.7800,0.0000
26.8000,0.0000
26.8200,0.0000
26.8400,0.0000
26.8600,0.0000
26.8800,0.0000
26.9000,0.0000
26.9200,0.0000
26.9400,0.0000
26.9600,0.0000
26.9800,0.0000
27.0000,0.0000
27.0200,0.0000
27.0400,0.0000
27.0600,0.0000
27.0800,0.0000
27.1000,0.0000
27.1200,0.0000
27.1400,0.0000
27.1600,0.0000
27.1800,0.0000
27.2000,0.0000
27.2200,0.0000
27.2400,0.0000
27.2600,0.0000
27.2800,0.0000
27.3000,0.0000
27.3200,0.0000
27.3400,0.0000
27.3600,0.0000
27.3800,0.0000
27.4000,0.0000
27.4200,0.0000
27.4400,0.0000
27.4600,0.0000
27.4800,0.0000
27.5000,0.0000
27.5200,0.0000
27.5400,0.0000
27.5600,0.0000
27.5800,0.0000
27.6000,0.0000
27.6200,0.0000
27.6400,0.0000
27.6600,0.0000
27.6800,0.0000
27.7000,0.0003
27.7200,0.0057
27.7400,0.0640
27.7600,0.4540
27.7800,2.0504
27.8000,5.9164
27.8200,11.0740
27.8400,14.3223
27.8600,15.6402
27.8800,18.9132
27.9000,23.3279
27.9200,22.6105
27.9400,15.2970
27.9600,6.9744
27.9800,2.1103
28.0000,0.4189
28.0200,0.0541
28.0400,0.0045
28.0600,0.0002
28.0800,0.0000
28.1000,0.0000
28.1200,0.0000
28.1400,0.0000
28.1600,0.0000
28.1800,0.0000
28.2000,0.0000
28.2200,0.0000
28.2400,0.0001
28.2600,0.0024
28.2800,0.0308
28.3000,0.2551
28.3200,1.3654
28.3400,4.7796
28.3600,11.1927
28.3800,18.0906
28.4000,20.8082
28.4200,17.2388
28.4400,10.1280
28.4600,4.0882
28.4800,1.0999
28.5000,0.1933
28.5200,0.0253
28.5400,0.0430
28.5600,0.3173
28.5800,1.5440
28.6000,4.7784
28.6200,9.4041
28.6400,11.7698
28.6600,9.3676
28.6800,4.7413
28.7000,1.5261
28.7200,0.3125
28.7400,0.0431
28.7600,0.0340
28.7800,0.2484
28.8000,1.2782
28.8200,4.1851
28.8400,8.7144
28.8600,11.5393
28.8800,9.7170
28.9000,5.2034
28.9200,1.7720
28.9400,0.3837
28.9600,0.0529
28.9800,0.0049
29.0000,0.0057
29.0200,0.0605
29.0400,0.4258
29.0600,1.9043
29.0800,5.4165
29.1000,9.7975
29.1200,11.2709
29.1400,8.2612
29.1600,3.9921
29.1800,2.0310
29.2000,3.4646
29.2200,7.5539
29.2400,11.3150
29.2600,11.8671
29.2800,10.9734
29.3000,11.5812
29.3200,11.7193
29.3400,8.6176
29.3600,4.1535
29.3800,1.2810
29.4000,0.2516
29.4200,0.0314
29.4400,0.0025
29.4600,0.0001
29.4800,0.0000
29.5000,0.0000
29.5200,0.0000
29.5400,0.0000
29.5600,0.0000
29.5800,0.0000
29.6000,0.0000
29.6200,0.0000
29.6400,0.0000
29.6600,0.0000
29.6800,0.0000
29.7000,0.0000
29.7200,0.0000
29.7400,0.0000
29.7600,0.0000
29.7800,0.0000
29.8000,0.0000
29.8200,0.0002
29.8400,0.0042
29.8600,0.0485
29.8800,0.3524
29.9000,1.6296
29.9200,4.7945
29.9400,8.9926
29.9600,10.9039
29.9800,9.3100
30.0000,7.9504
30.0200,9.8802
30.0400,13.0450
30.0600,14.5897
30.0800,14.2841
30.1000,11.8148
30.1200,7.2682
30.1400,3.0266
30.1600,0.8240
